title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Figma UI UX Design EssentialsUse Figma to get a job in UI Design, User Interface, User Experience design, UX Design & Web DesignRating: 4.7 out of 545064 reviews9.5 total hours95 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/figma-ux-ui-design-user-experience-tutorial-course/,Daniel Walter Scott,Rating: 4.7 out of 54.7,"45,064",$9.99,Original Price$59.99,9.5 total hours,95 lectures,All Levels,True
Figma UI UX Design AdvancedBecome a Figma Pro with our in-depth Advanced Figma tutorial course. Discover advanced design strategies & so much more!Rating: 4.6 out of 58879 reviews9 total hours107 lecturesIntermediateCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/figma-ui-ux-design-advanced-tutorial/,Daniel Walter Scott,Rating: 4.6 out of 54.6,"8,879",$9.99,Original Price$59.99,9 total hours,107 lectures,Intermediate,True
"Gamification & Behavioral Design: The Octalysis FrameworkGamification and Engagement Design beyond Beyond Points, Badges, and LeaderboardsRating: 4.7 out of 54724 reviews3 total hours21 lecturesAll LevelsCurrent price: $189.99",https://www.udemy.com/course/gamification-behavioral-design-the-octalysis-framework/,Yu-kai Chou,Rating: 4.7 out of 54.7,"4,724",$189.99,,3 total hours,21 lectures,All Levels,True
Design Principles for Effective Dashboard DesignIncrease engagement by understanding the psychology of information retrieval & 12 actionable improvements for dashboardsRating: 4.5 out of 53033 reviews1 total hour17 lecturesAll LevelsCurrent price: $10.99Original price: $34.99,https://www.udemy.com/course/design-principles-for-effective-dashboard-design/,Annabel Lyle,Rating: 4.5 out of 54.5,"3,033",$10.99,Original Price$34.99,1 total hour,17 lectures,All Levels,True
"UX & Web Design Master Course: Strategy, Design, DevelopmentLearn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!Rating: 4.6 out of 516073 reviews23 total hours186 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/ux-web-design-master-course-strategy-design-development/,Joe Natoli,Rating: 4.6 out of 54.6,"16,073",$9.99,Original Price$59.99,23 total hours,186 lectures,All Levels,True
User Experience (UX): The Ultimate Guide to Usability and UXGet a job in UX and build your user research and UX design skills with this hands-on user experience training course.Rating: 4.6 out of 56712 reviews12 total hours154 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/ultimate-guide-to-ux/,David Travis,Rating: 4.6 out of 54.6,"6,712",$24.99,,12 total hours,154 lectures,All Levels,True
"The Shift: AI-First UX DesignDesigning Systems That Think, Learn, and AdaptRating: 1.5 out of 53 reviews1 total hour13 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-shift-ai-first-ux-design/,Deepak Sahni,Rating: 1.5 out of 51.5,3,$9.99,Original Price$19.99,1 total hour,13 lectures,Beginner,True
MBA in UI/UX design 2024-beginner to worldclass professionalLearn product design and how to create mobile and web app interfaces with figma for different kinds of digital platformsRating: 3.8 out of 560 reviews7 total hours15 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/complete-uiux/,Dave Partner,Rating: 3.8 out of 53.8,60,$10.99,Original Price$19.99,7 total hours,15 lectures,Beginner,True
UI UX Design Patterns - by University UX InstructorGo deep into User Interface design patterns and UI components + create these design patterns using the design tool figmaRating: 4.6 out of 51077 reviews7 total hours34 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/uidesignpatterns/,Aaron Lawrence,Rating: 4.6 out of 54.6,"1,077",$9.99,Original Price$44.99,7 total hours,34 lectures,All Levels,True
"The Simple Way to Conduct a UX AuditLearn to evaluate the quality of UX+ UI design of any kind of app, website or enterprise software system.Rating: 4.6 out of 52260 reviews2 total hours27 lecturesIntermediateCurrent price: $10.99Original price: $49.99",https://www.udemy.com/course/simple-way-to-conduct-a-ux-audit/,Joe Natoli,Rating: 4.6 out of 54.6,"2,260",$10.99,Original Price$49.99,2 total hours,27 lectures,Intermediate,True
