title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Ultimate AWS Certified Solutions Architect Professional 2026Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02Rating: 4.7 out of 524989 reviews16.5 total hours205 lecturesExpertCurrent price: $174.99,https://www.udemy.com/course/aws-solutions-architect-professional/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"24,989",$11.99,Original Price$79.99,16.5 total hours,205 lectures,Expert,False
Practice Exam AWS Certified Solutions Architect ProfessionalPrepare for your SAP-C02 exam. 180 high-quality practice test questions written from scratch with detailed explanations!Rating: 4.4 out of 53758 reviews180 questionsExpertCurrent price: $99.99,https://www.udemy.com/course/practice-exam-aws-certified-solutions-architect-professional/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.4 out of 54.4,"3,758",$11.99,Original Price$59.99,,,Expert,False
AWS Certified Solutions Architect - Professional 2026 [NEW],https://www.udemy.com/course/aws-certified-solutions-architect-professional/,By Zeal Vora,Rating: 4.6 out of 54.6,"2,839",$22.99,,202644.5 total hours,406 lectures,Intermediate,False
Ultimate AWS Certified Solutions Architect Professional 2026Be AWS Certified Solutions Architect Professional. Full Amazon Web Services Solution Architecture deep-dive for SAP-C02Rating: 4.7 out of 524989 reviews16.5 total hours205 lecturesExpertCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/aws-solutions-architect-professional/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"24,989",$11.99,Original Price$79.99,16.5 total hours,205 lectures,Expert,False
AWS Certified Solutions Architect Professional SAP-C02[2025] AWS Certified Solutions Architect Professional Video Course | includes AWS Solutions Architect PRO Practice TestRating: 4.7 out of 57333 reviews21.5 total hours250 lecturesIntermediateCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/aws-certified-solutions-architect-professional-training/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.7 out of 54.7,"7,333",$10.99,Original Price$74.99,21.5 total hours,250 lectures,Intermediate,False
AWS Certified Solutions Architect Professional Practice ExamBe an AWS Solutions Architect Pro! AWS Certified Solutions Architect Professional Practice Tests for the SAP-C02 ExamRating: 4.5 out of 54399 reviews300 questionsIntermediateCurrent price: $11.99Original price: $59.99,https://www.udemy.com/course/aws-solutions-architect-professional-practice-exams-sap-c02/,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer",Rating: 4.5 out of 54.5,"4,399",$11.99,Original Price$59.99,,,Intermediate,False
Practice Exam AWS Certified Solutions Architect ProfessionalPrepare for your SAP-C02 exam. 180 high-quality practice test questions written from scratch with detailed explanations!Rating: 4.4 out of 53758 reviews180 questionsExpertCurrent price: $11.99Original price: $59.99,https://www.udemy.com/course/practice-exam-aws-certified-solutions-architect-professional/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.4 out of 54.4,"3,758",$11.99,Original Price$59.99,,,Expert,False
AWS Certified Solutions Architect - Professional 2026 [NEW]All you need to master AWS Solutions Architect - Professional (SAP-C02) certificationRating: 4.6 out of 52839 reviews44.5 total hours406 lecturesIntermediateCurrent price: $22.99,https://www.udemy.com/course/aws-certified-solutions-architect-professional/,Zeal Vora,Rating: 4.6 out of 54.6,"2,839",$22.99,,44.5 total hours,406 lectures,Intermediate,False
AWS Certified Solutions Architect Professional Practice Exam[2025] AWS Certified Solutions Architect Professional Practice Test Questions [SAP-C02] Exam Simulator + ExplanationsRating: 4.3 out of 52052 reviews210 questionsIntermediateCurrent price: $11.99Original price: $64.99,https://www.udemy.com/course/aws-certified-solutions-architect-professional-aws-practice-exams/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.3 out of 54.3,"2,052",$11.99,Original Price$64.99,,,Intermediate,False
"Advanced Architecting on AWSLearn how to build complex AWS solutions incorporating data services, governance, and security.Rating: 4.3 out of 5238 reviews13 total hours74 lecturesExpertCurrent price: $12.99Original price: $74.99",https://www.udemy.com/course/advanced-architecting-on-aws/,Rohan Arora,Rating: 4.3 out of 54.3,238,$12.99,Original Price$74.99,13 total hours,74 lectures,Expert,False
