title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Beginner to Pro in Excel: Financial Modeling and ValuationFinancial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!Rating: 4.6 out of 559937 reviews20.5 total hours374 lecturesAll LevelsCurrent price: $13.99Original price: $94.99,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,365 Careers,Rating: 4.6 out of 54.6,"59,937",$13.99,Original Price$94.99,20.5 total hours,374 lectures,All Levels,True
"The Microsoft Excel Course: Advanced Excel TrainingExcel: Advanced Excel Formatting, Excel Functions, Excel Modeling in Practice: Hands-on!Rating: 4.5 out of 55300 reviews5.5 total hours79 lecturesAll LevelsCurrent price: $13.99Original price: $84.99",https://www.udemy.com/course/the-power-modeling-bootcamp-advanced-excel-in-10-days/,365 Careers,Rating: 4.5 out of 54.5,"5,300",$13.99,Original Price$84.99,5.5 total hours,79 lectures,All Levels,True
Financial Budgeting and Forecasting In Excel Complete CourseTemplate Included! Learn how to build a financial model using Microsoft Excel. Become a financial model expertRating: 4.6 out of 51359 reviews6 total hours57 lecturesBeginnerCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/financial-modeling-in-excel-for-startups/,"Chris Benjamin, MBA & CFO",Rating: 4.6 out of 54.6,"1,359",$9.99,Original Price$54.99,6 total hours,57 lectures,Beginner,True
Financial Modeling: Build a Complete DCF Valuation ModelThe Ultimate Guide to Company Valuation For Aspiring Investment Bankers and Corporate Finance PractitionersRating: 4.5 out of 56638 reviews5.5 total hours89 lecturesAll LevelsCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/,365 Careers,Rating: 4.5 out of 54.5,"6,638",$10.99,Original Price$64.99,5.5 total hours,89 lectures,All Levels,True
Project Finance Modeling for Renewable EnergyLearn Financial Modeling for wind and solar projectsRating: 4.7 out of 5732 reviews16 total hours118 lecturesAll LevelsCurrent price: $159.99,https://www.udemy.com/course/financial-modeling-for-renewable-energy/,Greg Ahuy,Rating: 4.7 out of 54.7,732,$159.99,,16 total hours,118 lectures,All Levels,True
"Master Design of 10kW ONGRID Rooftop Solar System-Case StudyLearn manual design, component selection & financial analysis through a real case study of rooftop solar power.Rating: 3.7 out of 522 reviews6 total hours34 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/master-design-of-10kw-ongrid-rooftop-solar-system-case-study/,Kiran Ramkrishna Beldar,Rating: 3.7 out of 53.7,22,$10.99,Original Price$19.99,6 total hours,34 lectures,Beginner,True
Financial Modeling with Generative AIGenerative AI in Finance | GenAI Financial Modeling | Financial Risk Assessment GenAI | GenAI Predictive ModellingRating: 4.5 out of 5475 reviews4.5 total hours58 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/financial-modeling-with-generative-ai-l/,"Starweaver Team, Paul Siegel, Globecon Team",Rating: 4.5 out of 54.5,475,$9.99,Original Price$19.99,4.5 total hours,58 lectures,Beginner,True
"Financial Modeling Masterclass with ChatGPT, Adv Excel & MCQMaster Financial Modeling in Excel — Build 3-Statement Models, Forecast, Analyze and Value Businesses Like a CFO.Rating: 4.4 out of 522 reviews14 total hours37 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/adv-financial-modeling-masterclass-with-ai-chatgpt-excel/,Md Sanaullah | CMA | ISB CFO | Author,Rating: 4.4 out of 54.4,22,$9.99,Original Price$19.99,14 total hours,37 lectures,All Levels,True
"Financial Forecasting, Modeling, and Risk Management CourseCreate your first financial forecasting model and learn the fundamentals of financial risk management with this bundle!Rating: 4.5 out of 5331 reviews11.5 total hours84 lecturesIntermediateCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/financial-forecasting-modeling-and-risk-management-course/,Simon Sez IT,Rating: 4.5 out of 54.5,331,$9.99,Original Price$54.99,11.5 total hours,84 lectures,Intermediate,True
"Excel Financial Modeling and Business Analysis MasterclassExcel Financial Modelling from scratch: Financial Statements, Project Costing, Discounted Cash Flow (DCF), AccountingRating: 4.6 out of 51247 reviews15.5 total hours150 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/excel-financial-modeling-and-business-analysis-masterclass/,Andreas Exadaktylos,Rating: 4.6 out of 54.6,"1,247",$9.99,Original Price$54.99,15.5 total hours,150 lectures,All Levels,True
