title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
CBT and Positive Psychology: Your Journey to HappinessCognitive Behavior Therapy CBT | Happiness | Success | Mental Health | Personal Transformation | Emotional IntelligenceRating: 4.7 out of 5523 reviews7.5 total hours74 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/claiming-your-power-to-live-a-happy-and-abundant-life/,"Roger Kay Allen, Ph.D.",4.7,523,$74.99,,7.5 total hours,74 lectures,All Levels
"REBT Mindset Life Coach Certification  (Accredited)Coach clients to empower their thoughts, emotions, behaviors & dreams as an REBT Rational Emotive Behavioral Life CoachRating: 4.8 out of 52799 reviews6.5 total hours65 lecturesAll LevelsCurrent price: $79.99",https://www.udemy.com/course/rebt-mindset-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.8,"2,799",$79.99,,6.5 total hours,65 lectures,All Levels
Accountability Training For Managers and Corporate EmployeesMaster Personal Accountability To Enhance Your Productivity And Success And Unlock Personal and Professional GrowthRating: 4.5 out of 55197 reviews1.5 total hours26 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/accountability/,Magine Solutions Team,4.5,"5,197",$19.99,,1.5 total hours,26 lectures,All Levels
"30 Day Challenge to a More Productive and Much Happier You!Award Winning MBA Prof, Ivy League MBA, Successful Venture Capitalist & Top Author Reviewed in Forbes & Business InsiderRating: 4.5 out of 54131 reviews3.5 total hours36 lecturesAll LevelsCurrent price: $84.99",https://www.udemy.com/course/30-day-challenge-to-a-more-productive-and-much-happier-you/,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,4.5,"4,131",$84.99,,3.5 total hours,36 lectures,All Levels
"The Key to Happiness: Self CareDiscover Self Care as a tool for creating positive change in your mental health, behaviours, and well-being.Rating: 4.5 out of 51591 reviews1.5 total hours19 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/decluttering-your-mind-with-self-care/,KW Professional Organizers,4.5,"1,591",$19.99,,1.5 total hours,19 lectures,All Levels
"How to Be Happy & Have the Life You Want: Tools For SuccessTools For Success. How To Be Happy, Find Fulfillment, Make Daily Progress, Live The Life You Want & Create A Better You!Rating: 4.7 out of 51165 reviews1 total hour16 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/how-to-be-happy-have-the-life-you-want-tools-for-success/,Life Progression Project,4.7,"1,165",$19.99,,1 total hour,16 lectures,All Levels
The Science of HappinessDiscover how to live your life in the happiest way possible!Rating: 4.3 out of 5978 reviews3.5 total hours78 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-science-of-happiness/,Libby Seery,4.3,978,$19.99,,3.5 total hours,78 lectures,All Levels
Happiness Hormones: Secrets to Live in a Beautiful State4 Proven Hacks For Working Professionals & Entrepreneurs (Have a Greater Control Over Your Mood & Happiness)Rating: 3.9 out of 5939 reviews1 total hour26 lecturesAll LevelsCurrent price: $24.99,https://www.udemy.com/course/happinesshormones/,Harish Gulati,3.9,939,$24.99,,1 total hour,26 lectures,All Levels
"Happiness: Practical Secrets to Being HappyHappiness - practical guide to being happy in your career, personal life and every day.Rating: 4.7 out of 5339 reviews3 total hours69 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/happiness-practical/,Chris Croft,4.7,339,$64.99,,3 total hours,69 lectures,All Levels
Master the Science of Happiness & SuccessLearn and master the scientific recipe for lasting happiness & successRating: 4.4 out of 5262 reviews2 total hours45 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/happiness-success/,Circles University,4.4,262,$19.99,,2 total hours,45 lectures,All Levels
The Complete Happiness Course: Become Happier Now!Happiness Can Be Yours! Learn Happiness Habits to Build Your Personal Success and Enhance Personal Development TodayRating: 4.5 out of 5212 reviews3 total hours68 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/the-complete-happiness-course-become-happier-now/,"TJ Walker, Media Training Worldwide Digital",4.5,212,$34.99,,3 total hours,68 lectures,All Levels
"Certified: Transformational Life Coach (Accredited)Change Your Life and Help Others to Do the Same: Done-For-You forms, tools, templates, processes and best practicesRating: 4.6 out of 5191 reviews2.5 total hours27 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/life-transformation-masterclass/,"Dr. Marita Kinney, BCC, Msc.D",4.6,191,$34.99,,2.5 total hours,27 lectures,All Levels
"Fulfillment And Happiness With Mindfulness And IntrospectionUse mindfulness, introspection, and self-awareness to unlock your life meaning, happiness, life purpose, and fulfillmentRating: 4.5 out of 5186 reviews2 total hours38 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/fulfillment-and-happiness-in-your-work-with-mindfulness/,Alex Genadinik,4.5,186,$19.99,,2 total hours,38 lectures,Beginner
The Science of Happiness: Hacks & Skills to FlourishFive weeks to discover positive psychology - including the latest research and tools to living your most awesome life. Rating: 4.3 out of 5164 reviews4 total hours36 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/scienceofhappiness/,Stella Grizont,4.3,164,$19.99,,4 total hours,36 lectures,All Levels
Authenticity and Awakening for Lovable IdiotsLearn all of the skills necessary to keep you at the high end of your happiness spectrum for the rest of your lifeRating: 4.7 out of 5143 reviews2.5 total hours15 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/authenticityandawakening/,Ira Israel,4.7,143,$19.99,,2.5 total hours,15 lectures,All Levels
Develop Creative & Happy Mindset - Rise in Love with LifeLearn the positive habits to reignite your creative drive and happiness. Wake up awesome and live with passion.Rating: 4.5 out of 5139 reviews3 total hours28 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/rise-in-love/,Harald Lepisk,4.5,139,$19.99,,3 total hours,28 lectures,All Levels
"(Oxford) Diploma : Art Therapy, Hygge and Palliative Care30 exercises and Case Studies showing Art Therapy and Hygge applied for use in Palliative Care. (ACCREDITED COURSE)Rating: 4.3 out of 5134 reviews12 total hours114 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/the-holman-protocol-hygge/,"Chris Sivewright, Almost Random Theatre, Elina Ghanbari",4.3,134,$19.99,,12 total hours,114 lectures,All Levels
"CBT Cognitive Behavior Life Coach Certification: AccreditedWith CBT: Empower coaching clients to stop self-sabotage, reprogram their mind, master emotions & stop negative thinkingRating: 4.7 out of 55185 reviews6 total hours58 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/cbt-cognitive-behavioral-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"5,185",$69.99,,6 total hours,58 lectures,All Levels
10 Steps To Permanent Happiness: Coaching program with toolsComplete Happiness Coaching Program. Lasting happiness program. Happiness mastery. Learn to build happiness habits.Rating: 4.6 out of 5129 reviews2 total hours19 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/10-steps-to-permanent-happiness/,"Sanja Stojanovic, Self Clarity Academy",4.6,129,$19.99,,2 total hours,19 lectures,All Levels
Improve Your Life and Happiness with the Power of GratitudeLearn how to appreciate all the good in your life and thereby create even more of it with an attitude of gratitudeRating: 4.7 out of 5125 reviews4 total hours49 lecturesBeginnerCurrent price: $49.99,https://www.udemy.com/course/the-power-of-gratitude/,Andy Grant,4.7,125,$49.99,,4 total hours,49 lectures,Beginner
"21 Day Happiness ChallengeExperience a happier, more fulfilling life in only 10 minutes a day!Rating: 4.7 out of 5115 reviews2.5 total hours32 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/21-day-happiness-challenge/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,115,$19.99,,2.5 total hours,32 lectures,All Levels
Happiness Life Coach Sales Presentation BlueprintComplete presentation for marketing happiness coaching and getting more clients.Rating: 4.7 out of 5106 reviews2.5 total hours35 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/happiness-life-coach-sales-presentation-blueprint/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,106,$19.99,,2.5 total hours,35 lectures,All Levels
