title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Beginning C++ Programming - From Beginner to BeyondObtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.Rating: 4.6 out of 579809 reviews46 total hours305 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/beginning-c-plus-plus-programming/,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",Rating: 4.6 out of 54.6,"79,809",$9.99,Original Price$64.99,46 total hours,305 lectures,All Levels,False
"Mastering Data Structures & Algorithms using C and C++Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.Rating: 4.6 out of 558495 reviews76 total hours449 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/datastructurescncpp/,Abdul Bari,Rating: 4.6 out of 54.6,"58,495",$9.99,Original Price$64.99,76 total hours,449 lectures,All Levels,False
"Learn Advanced C++ ProgrammingDiscover intermediate to advanced C++, including C++ 11's fantastic additions to the C++ standard.Rating: 4.3 out of 58969 reviews15 total hours105 lecturesIntermediateCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/learn-advanced-c-programming/,John Purcell,Rating: 4.3 out of 54.3,"8,969",$10.99,Original Price$74.99,15 total hours,105 lectures,Intermediate,False
C++ Unit Testing: Google Test and Google MockBeginning Test Driven Development (TDD) in C++ with Googletest and GooglemockRating: 4.3 out of 52682 reviews3.5 total hours63 lecturesBeginnerCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/cplusplus-unit-testing-google-test-and-google-mock/,Serban Stoenescu,Rating: 4.3 out of 54.3,"2,682",$11.99,Original Price$69.99,3.5 total hours,63 lectures,Beginner,False
"C++ Programming Course - Complete Beginner to AdvancedBecome an expert in C++ programming; learn all C++ concepts from scratch like Array, Pointers,  Looping, Function, STL,Rating: 4.3 out of 5119 reviews29.5 total hours252 lecturesAll LevelsCurrent price: $9.99Original price: $39.99",https://www.udemy.com/course/master-c-programming-complete-beginner-to-advanced/,GeeksforGeeks (GfG),Rating: 4.3 out of 54.3,119,$9.99,Original Price$39.99,29.5 total hours,252 lectures,All Levels,False
"Java And C++ Complete Course for Java And C++ BeginnersJava and C++ Programming Language in Java and C++ Complete Course for Beginners, C++ And Java All In One CourseRating: 4.3 out of 5741 reviews5.5 total hours83 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/java-and-c-complete-course-for-beginners-2022/,Crunch Coding Institute,Rating: 4.3 out of 54.3,741,$9.99,Original Price$19.99,5.5 total hours,83 lectures,Beginner,False
Ultimate C++ Programming Course – Beginner to ProMaster C++ Programming by Coding and building 20+ Real World End to End Applications & Learn C++ from Scratch!Rating: 3.8 out of 56 reviews1 total hour7 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ultimate-c-programming-course-beginner-to-pro/,Raj Kumar Thokala,Rating: 3.8 out of 53.8,6,$9.99,Original Price$19.99,1 total hour,7 lectures,All Levels,False
CPA C++ Certified Associate Programmer Certification CourseCPA C++ | Everything you need to pass the CPA-21-01 exam by doing with step-by-step examples.Rating: 3.6 out of 573 reviews3.5 total hours29 lecturesBeginnerCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/cpa-c-plus-plus-certified-associate-programmer-certification-course/,"Dr. Chris Mall • 40,000+ Students Worldwide",Rating: 3.6 out of 53.6,73,$9.99,Original Price$44.99,3.5 total hours,29 lectures,Beginner,False
"C++ Training Crash Course for C++ BeginnersLearn C++ Training Crash Course for Beginners, Learn C++ Basics In this C++ Crash CourseRating: 4.3 out of 5634 reviews39 total mins14 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/c-training-crash-course-2022/,Crunch Coding Institute,Rating: 4.3 out of 54.3,634,$9.99,Original Price$19.99,,14 lectures,Beginner,False
"Java And C++ And PHP Crash Course All in One For BeginnersGet Started With C++, Java And PHP Programming in This Crash Course, Learn C++, Java And PHP Basics All in One CourseRating: 4.2 out of 5670 reviews2.5 total hours44 lecturesBeginnerCurrent price: $9.99Original price: $34.99",https://www.udemy.com/course/java-and-c-and-php-crash-course-for-beginners/,Crunch Coding Institute,Rating: 4.2 out of 54.2,670,$9.99,Original Price$34.99,2.5 total hours,44 lectures,Beginner,False
