title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Online Coaching Business: Health & Life Coach CertificationHow to start your own online coaching business in any industry | Become a paid life coach, health coach, business coachRating: 4.5 out of 5301 reviews3 total hours57 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/online-coaching-business-health-life-coach-certification/,Felix Harder,4.5,301,$54.99,,3 total hours,57 lectures,All Levels
Life Purpose Life Coach Certification (Accredited)Become a Certified Life Purpose Coach! Learn powerful tools & strategies to help clients find their purpose & passion.Rating: 4.7 out of 510046 reviews7.5 total hours62 lecturesAll LevelsCurrent price: $94.99,https://www.udemy.com/course/life-purpose-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"10,046",$94.99,,7.5 total hours,62 lectures,All Levels
How to Lead & Coach Millennials & Gen Z EmployeesIncrease your level of Influence & Promotability by tapping into the Optimism and Creativity of your team!Rating: 4.4 out of 57289 reviews1 total hour9 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/the-millennial-maze/,Carla Howard,4.4,"7,289",$39.99,,1 total hour,9 lectures,All Levels
Be Approachable & Coach as a ManagerYou want to be the best leader. Gain the tools you need to encourage interactions and coach your team to the next level.Rating: 4.3 out of 53925 reviews0.5 total hours25 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/be-approachable-coach-as-a-manager/,Eleventure Team,4.3,"3,925",$19.99,,0.5 total hours,25 lectures,All Levels
Career Coaching Certification in Career Development CoachingCareer Coach Training Graduates Ready-To-Work Coaching Professionals in Career Change and Holistic Career DevelopmentRating: 4.3 out of 52533 reviews33.5 total hours272 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/certification-career-development-career-coaching/,"Holistic Coach Academy, Louise Anne Maurice Leadership Mentor",4.3,"2,533",$69.99,,33.5 total hours,272 lectures,All Levels
"Career Coaching: Life Coach Certification (Accredited)Life coach your clients to a successful job search, resume, interviewing skills, LinkedIn networking; career they loveRating: 4.3 out of 51246 reviews8 total hours61 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/career-coaching-life-coach-certification-accredited/,"Joeel & Natalie of Transformation Services, Transformation Services, Adam Mitchell-Hardt",4.3,"1,246",$64.99,,8 total hours,61 lectures,All Levels
Coaching skills for managersA guide to using coaching as a leadership skills development toolRating: 4.1 out of 5765 reviews0.5 total hours11 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/leadership-coaching-skills/,"Skill Boosters, Sarah Lewis",4.1,765,$39.99,,0.5 total hours,11 lectures,All Levels
The Complete Career Coaching Course - Career DevelopmentCareer Coaching - Career Development - Career Change - Be A Career Coach for Others and Yourself - Interview SkillsRating: 4.1 out of 5315 reviews3.5 total hours99 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/the-complete-career-coaching-course-career-development/,"TJ Walker, Bob Berkowitz, Media Training Worldwide Digital",4.1,315,$39.99,,3.5 total hours,99 lectures,All Levels
How to Coach in the Workplace Learn to Coach in the Workplace and Boost your Value and CareerRating: 4.4 out of 5268 reviews1 total hour14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/7-keys-to-workplace-coaching/,7 Keys Solutions,4.4,268,$19.99,,1 total hour,14 lectures,All Levels
Non-Executive Directorship For BeginnersLearn how to build a lucrative and rewarding portfolio career as a Non-Executive Director.Rating: 4.3 out of 5200 reviews5 total hours29 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/non-executive-directorship/,Adrian Knight,4.3,200,$39.99,,5 total hours,29 lectures,Beginner
