title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Neuroplasticity: How To Rewire Your BrainHow to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience researchRating: 4.7 out of 518494 reviews4 total hours36 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/neuroplasticity/,Gregory Caremans - Brain Academy,4.7,"18,494",$69.99,,4 total hours,36 lectures,All Levels
"Master your brain: Neuroscience for personal developmentDiscover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...Rating: 4.6 out of 512381 reviews3.5 total hours72 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/my-brain-and-i/,Gregory Caremans - Brain Academy,4.6,"12,381",$69.99,,3.5 total hours,72 lectures,All Levels
"Neuroplasticity: How To Rewire Your BrainHow to develop mental flexibility, change habits, stop procrastination and alter memories based on neuroscience researchRating: 4.7 out of 518496 reviews4 total hours36 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/neuroplasticity/,Gregory Caremans - Brain Academy,4.7,"18,496",$69.99,,4 total hours,36 lectures,All Levels
Neuroplasticity Masterclass: Unleash The Power Of Your BrainMaster Your Brain Like Never Before: Step-by-step system with activities to build new neurons & wire in more brain powerRating: 4.9 out of 52250 reviews7 total hours79 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/modern-neuroplasticity-how-to-rewire-your-brain-for-success/,Silviu Marisk | M.B.A.,4.9,"2,250",$74.99,,7 total hours,79 lectures,All Levels
Mental Health and Neuroplasticity: Change your Brain10 Alternatives to Medication to Improve Mental Health - Research backed treatments for Depression and  AnxietyRating: 4.7 out of 51666 reviews3.5 total hours32 lecturesAll LevelsCurrent price: $199.99,https://www.udemy.com/course/change-your-brain/,Emma McAdam,4.7,"1,666",$199.99,,3.5 total hours,32 lectures,All Levels
"Neuroplasticity: Unlocking Brain's Rewire SecretsNeuroscience Insights: Brain Hacks to Defeat Procrastination, Change Habits and Enhance Memory using NeuroplasticityRating: 4.7 out of 5535 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $27.99",https://www.udemy.com/course/neuroplasticity-unlocking-brains-rewire-secrets/,Claudiu Ivan Academy,4.7,535,$27.99,,1.5 total hours,27 lectures,All Levels
"The Neuroplasticity Masterclass: How To Rewire Your BrainUnlock your brain's hidden potential with neuroplasticity and neuroscience! Discover how to change your behavior, thoughRating: 4.6 out of 5525 reviews14.5 total hours76 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/neuroplasticity-understanding-the-neuroscience-of-wiring/,Noah ​Merriby,4.6,525,$74.99,,14.5 total hours,76 lectures,All Levels
Fully Accredited Professional Neuroplasticity Diploma CourseEasy & Effective Techniques To Rewire Your Brain Using Neuroscience! Fully Accredited Diploma Course.Rating: 4.2 out of 5219 reviews0.5 total hours11 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/fully-accredited-professional-neuroplasticity-diploma-course/,Dr Karen E Wells,4.2,219,$49.99,,0.5 total hours,11 lectures,All Levels
"Neuroplasticity: Neuroscience Synthesis To Rewire Your BrainThe Ability To Change Your Neural Structural & Rewire Behavior, Thoughts & Habits Via Neuroplasticity and NeuroscienceRating: 4.2 out of 5156 reviews5.5 total hours50 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/9-courses-in-1-neroplasticity-flexibility-integration/,Noah ​Merriby,4.2,156,$19.99,,5.5 total hours,50 lectures,All Levels
"Internationally Accredited Certification in NeuroplasticityRewire brain to improve memory and creativity; and get rid of anxiety, depression, bad habits, procrastination etc.Rating: 4.6 out of 5139 reviews1 total hour19 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/neuroplasticity-brain-plasticity-therapy-rewiring-brain-made-easy/,"Prof. Krishna N. Sharma, Ph.D., Virtued Academy International, UniSkill Academy",4.6,139,$64.99,,1 total hour,19 lectures,All Levels
"The Science of Epigenetics and Quantum Embodiment®.Bridging Neuroscience, Ancient Wisdom, and HealingRating: 4.5 out of 5131 reviews3.5 total hours28 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/learn-the-science-of-quantum-embodiment/,"Brian Sheen, Ph.D",4.5,131,$34.99,,3.5 total hours,28 lectures,All Levels
