title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Craft your Novel with Confidence: Creative Writing CourseMaster storytelling confidence to harness your ideas, fine-tune your fiction writing and plot a page-turning novelRating: 4.9 out of 510 reviews3 total hours35 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/craft-your-novel-with-confidence-creative-writing-course/,Isabel Ashdown,4.9,10,$19.99,,3 total hours,35 lectures,All Levels
"The Bestseller Blueprint: Crafting High-Concept Story IdeasProven strategies to generate marketable novel and movie ideas that captivate agents, publishers, producers, and readersRating: 4.7 out of 51900 reviews1.5 total hours16 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/writing-mastery-creating-high-concept-ideas-that-sell/,"Jessica Brody, Writing Mastery",4.7,"1,900",$49.99,,1.5 total hours,16 lectures,All Levels
"COMPLETE Creative Writing - All Genres - THE FULL COURSE!Learn to write engaging Fiction, Poetry, Drama, & Creative Non-Fiction and become the successful writer you want to beRating: 4.7 out of 55333 reviews12 total hours162 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/the-complete-creative-writer-all-genres-a-full-course/,Trace Crawford,4.7,"5,333",$69.99,,12 total hours,162 lectures,All Levels
"Creative Writing: how to write a novel. The full course.A full creative writing course: create engaging characters, use a 3 act narrative structure and write smart dialogues.Rating: 4.4 out of 51018 reviews7 total hours63 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/creative-writing-full-course-about-fiction-writing/,Luca Panzarella,4.4,"1,018",$64.99,,7 total hours,63 lectures,All Levels
"Creative Writing - Get Writing, Keep WritingUnlock your creative writing abilityRating: 4.3 out of 5915 reviews1 total hour33 lecturesBeginnerCurrent price: $34.99",https://www.udemy.com/course/get-writing-keep-writing/,"Tracy Baines, CRFT Productions",4.3,915,$34.99,,1 total hour,33 lectures,Beginner
"Narrative Design Master Class: Write stories for Video GamesWrite your story through topics such as World building, Character Development, Dialogue, Plot Theory and moreRating: 4.1 out of 5776 reviews7 total hours96 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/narrative-design-master-class/,Emilio Padulo,4.1,776,$59.99,,7 total hours,96 lectures,All Levels
Write a Novel Outline from Scratch (Novel Writing Success)Write a complete novel outline in this detailed outlining course for writers of all levels. Start writing yours now!Rating: 4.4 out of 5616 reviews4 total hours45 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/creative-writing-success-write-a-novel-outline-from-scratch/,Andrew Butcher,4.4,616,$19.99,,4 total hours,45 lectures,All Levels
Creative Writing Masterclass: Start Writing Your Own StoriesCreative Writing | Novel Writing | Fiction Writing | Self-Publishing | Book Writing | Poetry + in this Writing CourseRating: 4.5 out of 5607 reviews4 total hours49 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/creative-writing-masterclass/,"Video School, Phil Ebiner, Brian Birmingham",4.5,607,$44.99,,4 total hours,49 lectures,Beginner
Copywriting & SEO for Beginners: Complete Copywriting CourseEnjoy SEO Copywriting Animated Videos + Interactive Quizzes. Make Learning Fun. Use ChatGPT and AI. Make your Life Easy.Rating: 4.2 out of 5424 reviews15 total hours96 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/copywriting-seo-for-beginners/,"Ing. Tomáš Morávek, Learn Digital Advertising",4.2,424,$54.99,,15 total hours,96 lectures,Beginner
"Plot, Prose, Publish: Creative Writing Secrets for NovelsCreative Writing for Novels, Scripts and Beyond. Embark on a Journey of Self-Discovery Through the Power of StorytelligRating: 4.6 out of 5371 reviews1.5 total hours29 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/empower-your-pen-beginners-quest-in-book-creative-writing/,Claudiu Ivan Academy,4.6,371,$19.99,,1.5 total hours,29 lectures,All Levels
"Creative Non-Fiction Writing - You Can't Make This Stuff Up!Learn the skills writers need to write great true crime, memoir, travel, food, journalism, blogs, essays, books and moreRating: 4.8 out of 5312 reviews2 total hours27 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/creative-non-fiction-writing-you-cant-make-this-stuff-up/,Trace Crawford,4.8,312,$59.99,,2 total hours,27 lectures,All Levels
"Writing That Moves: Write Novels That Keep Pages TurningWrite novels with compelling plots. This writing course, on fiction writing, shows how to plot books that hook readersRating: 4.4 out of 5404 reviews1.5 total hours31 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/writing-fiction-novels-write-novel-plots/,Sally Apokedak,4.4,404,$19.99,,1.5 total hours,31 lectures,Beginner
"Punch Them In The Gut: Writing Fiction with Emotional ImpactBuild Powerful Stories, Engage with Readers, Change the WorldRating: 4.4 out of 5339 reviews2.5 total hours23 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/what-readers-want/,Clark Chamberlain,4.4,339,$19.99,,2.5 total hours,23 lectures,All Levels
Creative Writing: Creative Exercises For New Writing Ideas30 Creative writing exercises. Writing to improve creative thinking. Write to make an income from your creative writing.Rating: 4.2 out of 5247 reviews3 total hours89 lecturesBeginnerCurrent price: $64.99,https://www.udemy.com/course/creative-writing-workshop-exercises-to-boost-creativity/,Tatiana Ambrose,4.2,247,$64.99,,3 total hours,89 lectures,Beginner
Creative Writing AI Course: Creative Writing Using ChatGPTSave HOURS in Creative Writing Using ChatGPT | Creative Writing Mastery | Creative Writing FAST-TRACK  (Free Tool Inc.)Rating: 4.0 out of 5240 reviews3 total hours25 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/chatgpt-for-creative-writing-content-creation/,ExpertEase Education,4.0,240,$19.99,,3 total hours,25 lectures,All Levels
"AI-Powered Fiction with ChatGPT: Co-Create Your Novel (2026)Guided by Master Storyteller and Army Veteran (SGT), Michael Wood, M.Ed, M.S., you'll draft your first novel with AIRating: 4.9 out of 5236 reviews5 total hours30 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/ai-powered-fiction-with-chatgpt/,"Michael Wood, M.Ed., M.S.",4.9,236,$34.99,,5 total hours,30 lectures,All Levels
"Creative writing: How to write poetryImprove your creative writing and learn how to write sonnets, narrative poetry, blank verse, free verse and much more.Rating: 4.6 out of 5220 reviews1.5 total hours21 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/how-to-write-that-amazing-poem-that-you-know-is-inside-you/,"Serena Greenslade F.V.C.M. (Hons), A.N.E.A.",4.6,220,$39.99,,1.5 total hours,21 lectures,All Levels
"The 30 DAY Creative Writing Challenge!Jumpstart Your Fiction, Poetry, Creative Non-Fiction, or Playwriting with 30 Creativity Boosting ActivitiesRating: 4.7 out of 5219 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/the-30-day-creative-writing-challenge/,Trace Crawford,4.7,219,$49.99,,2.5 total hours,44 lectures,All Levels
Story-building: A Creative Writing Course For KidsA Creative Writing Course For KidsRating: 4.3 out of 5150 reviews1 total hour9 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/story-building/,Nicole Rimensberger,4.3,150,$34.99,,1 total hour,9 lectures,Beginner
Complete Creative Writing Megacourse: Beginner to ExpertLearn how to become a creative writer and write a book like a pro with this step-by-step course!Rating: 4.3 out of 5108 reviews13.5 total hours54 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/complete-creative-writing-megacourse-beginner-to-expert/,Skillademia Academy,4.3,108,$39.99,,13.5 total hours,54 lectures,All Levels
How to Write An Awesome Thriller or Horror NovelFrom First Word to Final DraftRating: 4.5 out of 5107 reviews4 total hours30 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/howtowriteanawesomehorrororthrillernovel/,Rick Wood,4.5,107,$44.99,,4 total hours,30 lectures,All Levels
"The Eight Crafts of Writing: The Map of StorytellingThe Eight Crafts of Writing course provides a structured overview of the writing craft(s), the map of storytelling.Rating: 4.6 out of 5103 reviews6 total hours105 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/the-eight-crafts-of-writing/,Stefan Emunds,4.6,103,$19.99,,6 total hours,105 lectures,Beginner
Creative writing for kids: write a spy story!Get your children to enjoy creative writing at home / home school with this thrilling course. Creative homeschooling.Rating: 4.7 out of 5100 reviews2 total hours12 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/spystory/,Luke Richardson,4.7,100,$19.99,,2 total hours,12 lectures,All Levels
How To Write Characters For  A Story : Creating CharactersWriting Fictional Characters: How To Write Characters For Books: Beginners Guide To Writing Characters For FictionRating: 4.3 out of 597 reviews1 total hour8 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/create-characters-for-novels/,Derek Bruce,4.3,97,$44.99,,1 total hour,8 lectures,Beginner
Learn to express with Poetry and creative writingTools for self expressionRating: 4.3 out of 587 reviews0.5 total hours11 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/learn-to-express-with-poetry-and-creative-writing/,Pranjulaa Singh,4.3,87,$19.99,,0.5 total hours,11 lectures,Beginner
Writing | Writing a Better Main CharacterI show you How to Write a Hero and not a ZeroRating: 4.1 out of 586 reviews0.5 total hours7 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/writing-writing-a-better-main-character/,Matthew Dewey,4.1,86,$19.99,,0.5 total hours,7 lectures,Beginner
Fantasy Writing: How to Craft a Best-Selling Fantasy NovelWant to be a fantasy author? Learn from experts how to build an awesome adventure story and start your writing career!Rating: 4.4 out of 579 reviews2 total hours20 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/fantasy-writing-how-to-craft-a-best-selling-fantasy-novel/,eGlobal Creative,4.4,79,$44.99,,2 total hours,20 lectures,Beginner
"The 10 SECRETS to Creative Writing Success!Engage readers - Perfect discipline - Edit effectively - Find Your Voice - Fiction, Screenplays, Blogs, NonfictionRating: 4.8 out of 577 reviews8 total hours79 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/the-10-secrets-to-creative-writing-success/,Trace Crawford,4.8,77,$44.99,,8 total hours,79 lectures,All Levels
"Write Your 1st Screenplay - EASY SCREENWRITINGScreenwriting, Screenplay Structure, and movie writing principles for 1st time Screenwriters!Rating: 4.8 out of 562 reviews4 total hours35 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/start-screenwriting/,Jordan Imiola,4.8,62,$19.99,,4 total hours,35 lectures,Beginner
"Creative Writing and Storytelling: Learn from 7 MastersDostoevsky, Kafka, Proust, Calvino, Murakami, Ishiguro & BukowskiRating: 4.4 out of 559 reviews2.5 total hours81 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/creative-storytelling-learn-from-6-masters/,Matt Kyoto,4.4,59,$39.99,,2.5 total hours,81 lectures,All Levels
Introduction to Creative Writing: Getting StartedA course to help beginning writers find their writing voice and to inspire experienced writers with writing exercises.Rating: 3.9 out of 559 reviews1 total hour18 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/introduction-to-creative-writing-getting-started/,Shanon (S.D.) Huston,3.9,59,$19.99,,1 total hour,18 lectures,Beginner
"How to Master simile, metaphor and figurative language.Get to the Heart of Imagery, give your novel new depth, and touch the hearts of your readers.Rating: 4.4 out of 556 reviews1.5 total hours11 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/heart-of-imagery/,Harry Dewulf,4.4,56,$19.99,,1.5 total hours,11 lectures,Intermediate
"Creative Writing for Primary School: Module 1Learn to write, the right way!Rating: 4.5 out of 556 reviews1 total hour20 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/creative-writing-for-primary-school-module-1/,Learn2Write - The Right Way,4.5,56,$19.99,,1 total hour,20 lectures,All Levels
"How to Write an Award-Winning SF short storyStrategy and technique for writing the right story, entering and winning the award.Rating: 4.6 out of 553 reviews1 total hour8 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/a-wscifiss/,Harry Dewulf,4.6,53,$19.99,,1 total hour,8 lectures,All Levels
Creative Writing Novel Workshop - Success with ThemeLearn how to use Theme to defeat writer's block and give your novels the power they've been missing!Rating: 4.3 out of 553 reviews1.5 total hours21 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/creative-writing-novel-workshop-success-with-theme/,Thomas Myron,4.3,53,$19.99,,1.5 total hours,21 lectures,All Levels
How to Build Story HooksHow to get readers hooked on your story from the very first page.Rating: 4.5 out of 551 reviews0.5 total hours6 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/story-hooks/,Harry Dewulf,4.5,51,$19.99,,0.5 total hours,6 lectures,Intermediate
