name,slug,url,section,subcategory
Personal Development,personal-development,https://www.udemy.com/topic/personal-development/,Personal Development,Personal Transformation
Neuro-Linguistic Programming (NLP),neuro-linguistic-programming,https://www.udemy.com/topic/neuro-linguistic-programming/,Personal Development,Personal Transformation
Personal Productivity,personal-productivity,https://www.udemy.com/topic/personal-productivity/,Personal Development,Personal Productivity
Creative Writing,creative-writing,https://www.udemy.com/topic/creative-writing/,Personal Development,Creativity
Speed Reading,speed-reading,https://www.udemy.com/topic/speed-reading/,Personal Development,Memory & Study Skills
Memory,memory,https://www.udemy.com/topic/memory/,Personal Development,Memory & Study Skills
Time Management,time-management,https://www.udemy.com/topic/time-management/,Personal Development,Personal Productivity
Confidence,confidence,https://www.udemy.com/topic/confidence/,Personal Development,Self Esteem & Confidence
Sound Therapy,sound-therapy,https://www.udemy.com/topic/sound-therapy/,Personal Development,Personal Transformation
Personal Transformation,personal-transformation,https://www.udemy.com/topic/personal-transformation/,Personal Development,Personal Transformation
Coaching,coaching,https://www.udemy.com/topic/coaching/,Personal Development,Leadership
Voice Training,voice-training,https://www.udemy.com/topic/voice-training/,Personal Development,Influence
Mindfulness,mindfulness,https://www.udemy.com/topic/mindfulness/,Personal Development,Personal Transformation
Spirituality,spirituality,https://www.udemy.com/topic/spirituality/,Personal Development,Religion & Spirituality
Emotional Intelligence,emotional-intelligence,https://www.udemy.com/topic/emotional-intelligence/,Personal Development,Personal Transformation
Interviewing Skills,interviewing-skills,https://www.udemy.com/topic/interviewing-skills/,Personal Development,Career Development
Learning Strategies,learning-strategies,https://www.udemy.com/topic/learning-strategies/,Personal Development,Memory & Study Skills
Car Repair,car-repair,https://www.udemy.com/topic/car-repair/,Personal Development,Career Development
Body Language,body-language,https://www.udemy.com/topic/body-language/,Personal Development,Career Development
Self-Esteem,self-esteem,https://www.udemy.com/topic/self-esteem/,Personal Development,Self Esteem & Confidence
Stress Management,stress-management,https://www.udemy.com/topic/stress-management/,Personal Development,Stress Management
Parenting,parenting,https://www.udemy.com/topic/parenting/,Personal Development,Parenting & Relationships
Soft Skills,soft-skills,https://www.udemy.com/topic/soft-skills/,Personal Development,Career Development
Psychology,psychology-fundamentals,https://www.udemy.com/topic/psychology-fundamentals/,Personal Development,Personal Transformation
Meditation,meditation,https://www.udemy.com/topic/meditation/,Personal Development,Personal Transformation
Screenwriting and Scriptwriting,screenwriting,https://www.udemy.com/topic/screenwriting/,Personal Development,Creativity
IT / Technical Support,it-support,https://www.udemy.com/topic/it-support/,Personal Development,Career Development
Critical Thinking,critical-thinking,https://www.udemy.com/topic/critical-thinking/,Personal Development,Career Development
Relationship Building,relationship,https://www.udemy.com/topic/relationship/,Personal Development,Parenting & Relationships
Business Writing,business-writing,https://www.udemy.com/topic/business-writing/,Personal Development,Career Development
Focus Mastery,focus-mastery,https://www.udemy.com/topic/focus-mastery/,Personal Development,Memory & Study Skills
Art Therapy,art-therapy,https://www.udemy.com/topic/art-therapy/,Personal Development,Personal Transformation
