title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Complete AI Automation And Agentic AI Bootcamp With n8nBuild AI-driven automation and Agentic AI workflows using n8n with real-world projects.Rating: 4.5 out of 5439 reviews25.5 total hours157 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/complete-ai-automation-and-agentic-ai-bootcamp-with-n8n/,"KRISHAI Technologies Private Limited, Mayank Aggarwal",Rating: 4.5 out of 54.5,439,$9.99,Original Price$19.99,25.5 total hours,157 lectures,All Levels,True
"Building AI Agents & Agentic AI System via Microsoft AutogenMaster Microsoft AutoGen to build powerful AI agents, automate tasks, and create advanced Agentic AI systems.Rating: 4.5 out of 5528 reviews39 total hours141 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/building-ai-agents-agentic-ai-system-via-microsoft-autogen/,"KRISHAI Technologies Private Limited, Mayank Aggarwal, Krish Naik",Rating: 4.5 out of 54.5,528,$9.99,Original Price$19.99,39 total hours,141 lectures,All Levels,True
The Product Management for AI & Data Science CourseThe Complete Course for Becoming a Successful Product Manager in the Field of AI & Data ScienceRating: 4.5 out of 59476 reviews5 total hours68 lecturesAll LevelsCurrent price: $10.99Original price: $59.99,https://www.udemy.com/course/the-product-management-for-data-science-ai-course/,"365 Careers, Danielle Thé",Rating: 4.5 out of 54.5,"9,476",$10.99,Original Price$59.99,5 total hours,68 lectures,All Levels,True
"The AI Engineer Course 2026: Complete AI Engineer BootcampComplete AI Engineer Training: Python, NLP, Transformers, LLMs, LangChain, Hugging Face, APIsRating: 4.6 out of 515657 reviews29.5 total hours441 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp/,365 Careers,Rating: 4.6 out of 54.6,"15,657",$9.99,Original Price$59.99,29.5 total hours,441 lectures,All Levels,True
Intro to AI: A Beginner's Guide to Artificial IntelligenceUnderstand How AI Works and How to Leverage This Technology to Transform Your Business and CareerRating: 4.5 out of 519288 reviews2.5 total hours43 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/intro-to-ai-a-beginners-guide-to-artificial-intelligence/,365 Careers,Rating: 4.5 out of 54.5,"19,288",$9.99,Original Price$44.99,2.5 total hours,43 lectures,All Levels,True
"AI for Cyber Security : Threat Detection, SOC AutomationMaster the Basics of Artificial Intelligence in Cybersecurity – No Prior AI Knowledge NeededRating: 4.6 out of 5171 reviews23.5 total hours76 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ai-for-cybersecurity-threat-detection-soc-automation/,Selfcode Academy,Rating: 4.6 out of 54.6,171,$9.99,Original Price$19.99,23.5 total hours,76 lectures,All Levels,True
"AI for Human Resources, Talent Management Workforce PlanningUse AI to transform recruiting, people analytics, performance, and HR operations responsiblyRating: 3.9 out of 52 reviews2 total hours20 lecturesBeginnerCurrent price: $19.99",https://www.udemy.com/course/ai-for-human-resources-talent-management-workforce-planning/,Europe Hotel School,Rating: 3.9 out of 53.9,2,$19.99,,2 total hours,20 lectures,Beginner,True
"Introduction to AI, Machine Learning and Data ScienceIntroductory Course for Beginners to AI, Machine Learning, Data Science, Deep Learning, Supervised and Unsupervised MLRating: 3.9 out of 51039 reviews32 total mins15 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/introduction-to-ai-machine-learning-and-data-science/,Pradeep D,Rating: 3.9 out of 53.9,"1,039",$10.99,Original Price$19.99,,15 lectures,Beginner,True
"Artificial Intelligence for Finance, Accounting & AuditingGain hands-on skills using 8 AI techniques (no coding!), and position yourself for this digital age (Level 1)Rating: 4.5 out of 55463 reviews5.5 total hours73 lecturesBeginnerCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/artificial-intelligence-for-finance-accounting-auditing/,"AI Ascent LLC. Course Instructor: Dr. Ivy Munoko, Ph.D., ACCA, CISA",Rating: 4.5 out of 54.5,"5,463",$9.99,Original Price$49.99,5.5 total hours,73 lectures,Beginner,True
"The Absolute Beginners Guide to Artificial IntelligenceLearn the fundamentals of AI including Machine & Deep Learning, Natural Linguistic Processing, Neural networks and moreRating: 4.5 out of 5196 reviews4 total hours39 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-absolute-beginners-guide-to-artificial-intelligence/,Alexander Oni,Rating: 4.5 out of 54.5,196,$9.99,Original Price$19.99,4 total hours,39 lectures,All Levels,True
AI Security with Microsoft Cloud (Azure & M365)SC-100 |SC-200 |SC-300 |SC-400 |MD-102 |Microsoft Purview |Entra ID |Microsoft Defender |Microsoft Sentinel|Azure OpenAIRating: 4.6 out of 588 reviews26.5 total hours138 lecturesIntermediateCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/securing-ai-with-microsoft-cloud/,Kuljot Singh Bakshi,Rating: 4.6 out of 54.6,88,$9.99,Original Price$49.99,26.5 total hours,138 lectures,Intermediate,True
AI Made AccessibleA Beginner's Guide with Hands-On Labs to Accelerate your Prompt Engineering SkillsRating: 4.6 out of 51026 reviews4 total hours34 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ai-made-accessible/,"Penny de Byl, Penny Holistic3D",Rating: 4.6 out of 54.6,"1,026",$9.99,Original Price$19.99,4 total hours,34 lectures,Beginner,True
"Artificial Intelligence & Machine Learning for BusinessThe Ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and EntrepreneursRating: 4.5 out of 524632 reviews6 total hours49 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/artificial-intelligence-machine-learning-business/,Analytics Vidhya,Rating: 4.5 out of 54.5,"24,632",$10.99,Original Price$69.99,6 total hours,49 lectures,All Levels,True
"The Complete AI Data Training Course 2025Learn to create & evaluate human data for SFT, RLHF, and red-teaming while mastering AI data quality & safety standards.Rating: 4.5 out of 575 reviews2 total hours18 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-complete-ai-data-training-course/,Soar AI,Rating: 4.5 out of 54.5,75,$9.99,Original Price$19.99,2 total hours,18 lectures,Beginner,True
Artificial Intelligence and Machine Learning: Complete GuideDo you want to study AI and don't know where to start? You will learn everything you need to know in theory and practiceRating: 4.6 out of 5382 reviews22.5 total hours189 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/artificial-intelligence-and-machine-learning-complete-guide/,"Jones Granatyr, AI Expert Academy",Rating: 4.6 out of 54.6,382,$9.99,Original Price$19.99,22.5 total hours,189 lectures,All Levels,True
"Fundamentals of Responsible Artificial Intelligence/MLDesigning and mantaining AI/ML models that help data subjects, are explainable, are not biased, and are compliant.Rating: 4.5 out of 51869 reviews22.5 total hours143 lecturesAll LevelsCurrent price: $9.99Original price: $34.99",https://www.udemy.com/course/responsible-ai-ml/,Vasco Patrício,Rating: 4.5 out of 54.5,"1,869",$9.99,Original Price$34.99,22.5 total hours,143 lectures,All Levels,True
