title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Double Your Confidence & Self Esteem - Complete BlueprintTOP-RATED 9h CONFIDENCE Course: Gain Self Esteem, Social Skills and Success, Inner Confidence, Confident Body LanguageRating: 4.7 out of 56168 reviews10.5 total hours91 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/double-your-confidence-self-esteem/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.7,"6,168",$64.99,,10.5 total hours,91 lectures,All Levels
Double Your Social Skills and Instantly Connect With PeopleDevelop Powerful Social Skills: Social Success Secrets. Inner & Social Confidence. Communication Skills. Networking.Rating: 4.3 out of 51625 reviews8.5 total hours95 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/double-your-social-skills-and-instantly-connect-with-people/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.3,"1,625",$74.99,,8.5 total hours,95 lectures,All Levels
"Radiate Confidence: How to Create a 1000 Watt PresenceHelping you unlock your inner light, or presence, so you can easily, effortlessly connect with everyone you meet.Rating: 4.6 out of 516917 reviews6 total hours51 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/1000-watt-presence/,Alexa Fischer,4.6,"16,917",$74.99,,6 total hours,51 lectures,All Levels
Confidence 10X: The Complete Guide To Unshakable ConfidenceThe World’s Most Efficient Method For Conveying Ultra Confidence to Others While Having Unshakeable Self-esteemRating: 4.8 out of 54242 reviews9 total hours151 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/10x-ultra-confidence/,Silviu Marisk | M.B.A.,4.8,"4,242",$64.99,,9 total hours,151 lectures,All Levels
Confidence: Build Inner Confidence & Boost your Self EsteemPractical and powerful confidence techniques to boost your self esteem. Be happier & more successfulRating: 4.8 out of 51506 reviews2.5 total hours51 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/inner-confidence/,Chris Croft,4.8,"1,506",$49.99,,2.5 total hours,51 lectures,All Levels
"SELF-CONFIDENCE: Boost Your Confidence in Just 34 minutes!Short Course with Massive Impact: If you are Busy and Want More Confidence in little time, this course was made for youRating: 4.4 out of 52860 reviews2.5 total hours23 lecturesBeginnerCurrent price: $39.99",https://www.udemy.com/course/boost-your-confidence-and-self-esteem-today-34-minute-guide/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.4,"2,860",$39.99,,2.5 total hours,23 lectures,Beginner
"The Confidence Course (A Guide to Genuine Self-Discovery)Learn the psychology behind your personality to build deep self-awareness, authentic confidence + lasting self-esteem.Rating: 4.6 out of 52574 reviews12.5 total hours48 lecturesAll LevelsCurrent price: $79.99",https://www.udemy.com/course/the-ultimate-confidence-coaching-program/,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology",4.6,"2,574",$79.99,,12.5 total hours,48 lectures,All Levels
Confidence Mastery Course: Unleash Your Hidden PotentialBuild Your Confidence - Increase Self-Esteem - Radiate More Confidence - Become a Truly Confident Person - CommunicationRating: 4.5 out of 5391 reviews15 total hours371 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/complete-confidence-building-course-exude-confidence-now/,"Media Training Worldwide Digital, Imran Afzal",4.5,391,$69.99,,15 total hours,371 lectures,All Levels
"Self-Care Life Coach Certification (Boundary Setting)Empower Your Life Coach Your Clients to Develop Self-Care, Self-Love, Boundary Setting and How to Say ""No""Rating: 4.5 out of 5643 reviews3.5 total hours40 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/the-helpers-guide-to-saying-no/,"Joeel & Natalie of Transformation Services, Transformation Services, Iyémote, Tasha Church",4.5,643,$69.99,,3.5 total hours,40 lectures,All Levels
21-Days to Ultimate Confidence - Complete SystemConfidence. Self Esteem. Master Social Anxiety. Body Language. Influence. Charisma. Success. Fear.Rating: 4.8 out of 579 reviews3.5 total hours24 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/21-days-to-ultimate-confidence-complete-system/,Peter Feysa,4.8,79,$19.99,,3.5 total hours,24 lectures,Beginner
Becoming a More Confident LeaderPractical strategies to help harness your best self and become more confident in your work & leadershipRating: 4.7 out of 53304 reviews38 total mins12 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/confidentleader/,Dorie Clark,4.7,"3,304",$89.99,,,12 lectures,All Levels
The Introvert Leader's ChallengeFinding your leadership courageRating: 4.5 out of 531 reviews41 total mins14 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-introvert-leaders-challenge/,Brent Brading,4.5,31,$19.99,,,14 lectures,All Levels
"Leadership Presence 30 Day ChallengeBuild Your Leadership Brand, Presence & Reputation. Outfit & Body Language, Written & Verbal Communication, Mindset.Rating: 4.0 out of 550 reviews1 total hour35 lecturesBeginnerCurrent price: $34.99",https://www.udemy.com/course/leadership-presence-30-day-challenge/,Kara Ronin,4.0,50,$34.99,,1 total hour,35 lectures,Beginner
"​Influence at Work for Managers, Team Members & New Leaders​Develop An Executive Presence, Become A Thought Leader, Boost Your Visibility At Work And Influence Your Peers & BossesRating: 4.1 out of 5128 reviews2 total hours25 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/influence-at-work-leadership-for-managers-team-members-new-leaders/,Gab Jean,4.1,128,$34.99,,2 total hours,25 lectures,All Levels
"SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide7h of NEW Content! Boost Your Confidence & Self Esteem, Handle Fear of Rejection,Learn Powerful Body Language,Feel GreatRating: 4.5 out of 525901 reviews8.5 total hours68 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/self-confidence-40-minute-confidence-self-esteem-guide/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.5,"25,901",$69.99,,8.5 total hours,68 lectures,All Levels
"Radiate Confidence: How to Create a 1000 Watt PresenceHelping you unlock your inner light, or presence, so you can easily, effortlessly connect with everyone you meet.Rating: 4.6 out of 516917 reviews5 total hours51 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/1000-watt-presence/,Alexa Fischer,4.6,"16,917",$74.99,,5 total hours,51 lectures,All Levels
"Confidence Blueprint: Develop Confidence & a Growth MindsetUnstoppable self confidence & self esteem! Stop holding yourself back, overcome self-doubt, & fulfill your potential.Rating: 4.5 out of 511920 reviews4 total hours49 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/develop-true-confidence-and-a-growth-mindset/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"11,920",$64.99,,4 total hours,49 lectures,All Levels
How to Build Confidence in Your AbilitiesOvercome Your Limiting Beliefs and Achieve Your GoalsRating: 4.2 out of 59778 reviews1 total hour15 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/how-to-build-confidence-in-your-abilities/,Martin Meadows,4.2,"9,778",$49.99,,1 total hour,15 lectures,All Levels
"Double Your Confidence & Self Esteem - Complete BlueprintTOP-RATED 9h CONFIDENCE Course: Gain Self Esteem, Social Skills and Success, Inner Confidence, Confident Body LanguageRating: 4.7 out of 56168 reviews10 total hours91 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/double-your-confidence-self-esteem/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.7,"6,168",$64.99,,10 total hours,91 lectures,All Levels
"A Complete Guide to Unshakable Confidence and AssertivenessLearn the essential beliefs, psychology, and timeless wisdom needed to cultivate unshakable confidence + assertiveness.Rating: 4.6 out of 53504 reviews11.5 total hours45 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/the-nlp-confidence-self-esteem-breakthrough-online-course/,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology",4.6,"3,504",$74.99,,11.5 total hours,45 lectures,All Levels
CONFIDENCE Tools - Confidence & Self Esteem for IntrovertsConfidence. Self Esteem. Social Skills. Social Success. Social & Inner Confidence. Body Language. Charisma. Influence.Rating: 4.6 out of 52524 reviews2 total hours20 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/confidence-for-introverts-top-confidence-building-tools/,"Jimmy Naraine • Official Udemy Partner, Richard Korbut, Jimmy Naraine Support",4.6,"2,524",$59.99,,2 total hours,20 lectures,All Levels
10-Day Double Your Self-Confidence & Self-Esteem ChallengeStep-By-Step 10x Confidence Process. Start Living with Confidence Today. Create Lasting Confidence & Build Self-Esteem.Rating: 4.4 out of 52256 reviews5 total hours62 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/10-day-double-your-self-confidence-self-esteem-challenge/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.4,"2,256",$49.99,,5 total hours,62 lectures,All Levels
How to Overcome Imposter Syndrome and Self-DoubtRewire Your Brain to Move Towards Inner Confidence -- No Matter WhatRating: 4.4 out of 52209 reviews2 total hours25 lecturesBeginnerCurrent price: $199.99,https://www.udemy.com/course/how-to-overcome-imposter-syndrome-and-self-doubt/,Gia Storms,4.4,"2,209",$199.99,,2 total hours,25 lectures,Beginner
Confidence Life Coach Certification & Confidence BlueprintConfidence & Growth Mindset Strategies that will Help Your Life Coaching Clients Develop Unstoppable ConfidenceRating: 4.7 out of 52136 reviews6 total hours74 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/confidence-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"2,136",$89.99,,6 total hours,74 lectures,All Levels
Virtual Meetings with Confidence: 90-minute Confidence GuideBoost Your DIGITAL Confidence. Learn Best Tips and Strategies to Be More Confident & Charismatic in Virtual Gatherings.Rating: 4.1 out of 51309 reviews3 total hours31 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/virtual-meetings-with-confidence-90-minute-confidence-guide/,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support",4.1,"1,309",$54.99,,3 total hours,31 lectures,All Levels
"Take Lessons from an Actor --Speech & Confidence TrainingBe successful in Job interviews, public speaking, committee meetings, employee evaluations, selling and auditions.Rating: 4.7 out of 51167 reviews1.5 total hours60 lecturesBeginnerCurrent price: $59.99",https://www.udemy.com/course/take-lessons-from-an-actor-speak-with-confidence-class/,"Gene Williams, Edmund Desiato",4.7,"1,167",$59.99,,1.5 total hours,60 lectures,Beginner
Self Confidence & Assertiveness TrainingMaster Self-Confidence and AssertivenessRating: 4.3 out of 5927 reviews3 total hours81 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/self-confidence-reap-the-benefits-of-self-confidence/,Libby Seery,4.3,927,$59.99,,3 total hours,81 lectures,All Levels
"Professional Receptionist Course by London Reception AcademyMaster the traits of a Professional Receptionist and improve your confidence, verbal, customer service and people skillsRating: 4.6 out of 5774 reviews2 total hours62 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/london-reception-academy/,Sun Moritz,4.6,774,$74.99,,2 total hours,62 lectures,All Levels
